country,state,year,week,date,conf,susp,total
Brazil,Bahia,2015,1,2015-01-10,NA,125,125
Brazil,Bahia,2015,2,2015-01-17,NA,110,110
Brazil,Bahia,2015,3,2015-01-24,NA,121,121
Brazil,Bahia,2015,4,2015-01-31,NA,129,129
Brazil,Bahia,2015,5,2015-02-07,NA,178,178
Brazil,Bahia,2015,6,2015-02-14,NA,257,257
Brazil,Bahia,2015,7,2015-02-21,NA,468,468
Brazil,Bahia,2015,8,2015-02-28,NA,450,450
Brazil,Bahia,2015,9,2015-03-07,NA,723,723
Brazil,Bahia,2015,10,2015-03-14,NA,741,741
Brazil,Bahia,2015,11,2015-03-21,NA,1013,1013
Brazil,Bahia,2015,12,2015-03-28,NA,1757,1757
Brazil,Bahia,2015,13,2015-04-04,NA,1618,1618
Brazil,Bahia,2015,14,2015-04-11,NA,2102,2102
Brazil,Bahia,2015,15,2015-04-18,NA,4462,4462
Brazil,Bahia,2015,16,2015-04-25,NA,3191,3191
Brazil,Bahia,2015,17,2015-05-02,NA,4795,4795
Brazil,Bahia,2015,18,2015-05-09,NA,5853,5853
Brazil,Bahia,2015,19,2015-05-16,NA,4795,4795
Brazil,Bahia,2015,20,2015-05-23,NA,4492,4492
Brazil,Bahia,2015,21,2015-05-30,NA,3282,3282
Brazil,Bahia,2015,22,2015-06-06,NA,2828,2828
Brazil,Bahia,2015,23,2015-06-13,NA,2677,2677
Brazil,Bahia,2015,24,2015-06-20,NA,2299,2299
Brazil,Bahia,2015,25,2015-06-27,NA,2374,2374
Brazil,Bahia,2015,26,2015-07-04,NA,2359,2359
Brazil,Bahia,2015,27,2015-07-11,NA,3282,3282
Brazil,Bahia,2015,28,2015-07-18,NA,3963,3963
Brazil,Bahia,2015,29,2015-07-25,NA,3252,3252
Brazil,Bahia,2015,30,2015-08-01,NA,2677,2677
Brazil,Bahia,2015,31,2015-08-08,NA,1921,1921
Brazil,Bahia,2015,32,2015-08-15,NA,1542,1542
Brazil,Bahia,2015,33,2015-08-22,NA,1149,1149
Brazil,Bahia,2015,34,2015-08-29,NA,937,937
Brazil,Bahia,2015,35,2015-09-05,NA,786,786
Brazil,Bahia,2015,36,2015-09-12,NA,710,710
Brazil,Bahia,2015,37,2015-09-19,NA,541,541
Brazil,Bahia,2015,38,2015-09-26,NA,523,523
Brazil,Bahia,2015,39,2015-10-03,NA,541,541
Brazil,Bahia,2015,40,2015-10-10,NA,378,378
Brazil,Bahia,2015,41,2015-10-17,NA,323,323
Brazil,Bahia,2015,42,2015-10-24,NA,432,432
Brazil,Bahia,2015,43,2015-10-31,NA,432,432
Brazil,Bahia,2015,44,2015-11-07,NA,505,505
Brazil,Bahia,2015,45,2015-11-14,NA,614,614
Brazil,Bahia,2015,46,2015-11-21,NA,813,813
Brazil,Bahia,2015,47,2015-11-28,NA,904,904
Brazil,Bahia,2015,48,2015-12-05,NA,1249,1249
Brazil,Bahia,2015,49,2015-12-12,NA,1340,1340
Brazil,Bahia,2015,50,2015-12-19,NA,1249,1249
Brazil,Bahia,2015,51,2015-12-26,NA,1249,1249
Brazil,Bahia,2015,52,2016-01-02,NA,723,723
Brazil,Bahia,2016,1,2016-01-09,NA,1521,1521
Brazil,Bahia,2016,2,2016-01-16,NA,1902,1902
Brazil,Bahia,2016,3,2016-01-23,NA,1921,1921
Brazil,Bahia,2016,4,2016-01-30,NA,2465,2465
Brazil,Bahia,2016,5,2016-02-06,NA,3191,3191
Brazil,Bahia,2016,6,2016-02-13,NA,4462,4462
Brazil,Bahia,2016,7,2016-02-20,NA,6610,6610
Brazil,Bahia,2016,8,2016-02-27,NA,6458,6458
Brazil,Bahia,2016,9,2016-03-05,NA,5097,5097
Brazil,Bahia,2016,10,2016-03-12,NA,3736,3736
Brazil,Bahia,2016,11,2016-03-19,NA,2828,2828
Brazil,Bahia,2016,12,2016-03-26,NA,1812,1812
Brazil,Bahia,2016,13,2016-04-02,NA,1618,1618
Brazil,Bahia,2016,14,2016-04-09,NA,862,862
Brazil,Bahia,2016,15,2016-04-16,NA,589,589
Brazil,Bahia,2016,16,2016-04-23,NA,408,408
Brazil,Bahia,2016,17,2016-04-30,NA,305,305
Brazil,Bahia,2016,18,2016-05-07,NA,272,272
Brazil,Bahia,2016,19,2016-05-14,NA,124,124
Brazil,Bahia,2016,20,2016-05-21,NA,124,124
