Integer week,Week_of_2016,Error,Rate,Number,Week_from_Ferguson,Number,,,,
1,1.053969901,8348.294434,8.348294434,1269.269176,1,1521,,,,
2,2.079398028,10143.62657,10.14362657,1542.230289,2,1902,,,,
3,3.104826155,10861.75943,10.86175943,1651.414734,3,1921,,,,
4,4.022314478,13285.45781,13.28545781,2019.912237,4,2465,,,,
5,4.966787753,17414.72172,17.41472172,2647.722797,5,3191,,,,
6,6.01920083,26122.08259,26.12208259,3971.584196,6,4462,,,,
7,7.044628957,42190.30521,42.19030521,6414.586158,7,6610,,,,
8,8.043072133,42639.13824,42.63913824,6482.826436,8,6458,,,,
9,9.09548521,38779.17415,38.77917415,5895.960043,9,5097,,,,
10,9.985988583,31867.14542,31.86714542,4845.059758,10,3736,,,,
11,11.01141671,26211.84919,26.21184919,3985.232251,11,2828,,,,
12,12.03684484,18132.85458,18.13285458,2756.907242,12,1812,,,,
13,13.06227296,17504.48833,17.50448833,2661.370853,13,1618,,,,
14,14.11468604,13285.45781,13.28545781,2019.912237,14,862,,,,
15,NA,NA,NA,NA,15,589,,,,
16,16.00363259,7271.095153,7.271095153,1105.492508,16,408,,,,
17,NA,NA,NA,NA,17,305,,,,
18,18.05448884,5116.696589,5.116696589,777.9391724,18,272,,,,
19,19.05293202,4667.863555,4.667863555,709.6988941,19,124,,,,
20,19.99740529,3411.131059,3.411131059,518.6261149,20,124,,,,
21,20.96886352,2513.464991,2.513464991,382.1455583,21,NA,,,,
22,22.04826155,2423.698384,2.423698384,368.4975027,22,NA,,,,
23,23.23559938,1705.56553,1.70556553,259.3130575,23,NA,,,,
24,24.12610275,1436.265709,1.436265709,218.3688905,24,NA,,,,
25,24.98962117,1077.199282,1.077199282,163.7766679,25,NA,,,,
26,26.09600415,1436.265709,1.436265709,218.3688905,26,NA,,,,
27,26.95952257,1077.199282,1.077199282,163.7766679,27,NA,,,,
28,NA,NA,NA,NA,28,NA,,,,
29,29.01037883,1077.199282,1.077199282,163.7766679,29,NA,,,,
30,30.03580695,718.1328546,0.718132855,109.1844452,30,NA,,,,
31,31.00726518,1077.199282,1.077199282,163.7766679,31,NA,,,,
32,32.08666321,1077.199282,1.077199282,163.7766679,32,NA,,,,
33,32.92319668,628.3662478,0.628366248,95.53638959,33,NA,,,,
34,NA,NA,NA,NA,34,NA,,,,
35,NA,NA,NA,NA,35,NA,,,,
36,NA,NA,NA,NA,36,NA,,,,
37,37.10586404,718.1328546,0.718132855,109.1844452,37,NA,,,,
38,38.02335236,269.2998205,0.26929982,40.94416697,38,NA,,,,
39,38.91385573,718.1328546,0.718132855,109.1844452,39,NA,,,,
40,NA,NA,NA,NA,40,NA,,,,
41,NA,NA,NA,NA,41,NA,,,,
42,NA,NA,NA,NA,42,NA,,,,
43,NA,NA,NA,NA,43,NA,,,,
44,NA,NA,NA,NA,44,NA,,,,
45,NA,NA,NA,NA,45,NA,,,,
46,NA,NA,NA,NA,46,NA,,,,
47,NA,NA,NA,NA,47,NA,,,,
48,NA,NA,NA,NA,48,NA,,,,
49,49.0601972,718.1328546,0.718132855,109.1844452,49,NA,,,,
50,49.89673067,359.0664273,0.359066427,54.59222262,50,NA,,,,
51,51.0300986,359.0664273,0.359066427,54.59222262,51,NA,,,,
52,52.02854177,2244.165171,2.244165171,341.2013914,52,NA,,,,
