country,state,year,week,date,conf,susp,total
Brazil,Goiania City,2015,1,2015-01-10,NA,NA,NA
Brazil,Goiania City,2015,2,2015-01-17,NA,NA,NA
Brazil,Goiania City,2015,3,2015-01-24,NA,NA,NA
Brazil,Goiania City,2015,4,2015-01-31,NA,NA,NA
Brazil,Goiania City,2015,5,2015-02-07,NA,NA,NA
Brazil,Goiania City,2015,6,2015-02-14,NA,NA,NA
Brazil,Goiania City,2015,7,2015-02-21,NA,NA,NA
Brazil,Goiania City,2015,8,2015-02-28,NA,NA,NA
Brazil,Goiania City,2015,9,2015-03-07,NA,NA,NA
Brazil,Goiania City,2015,10,2015-03-14,NA,NA,NA
Brazil,Goiania City,2015,11,2015-03-21,NA,NA,NA
Brazil,Goiania City,2015,12,2015-03-28,NA,NA,NA
Brazil,Goiania City,2015,13,2015-04-04,NA,NA,NA
Brazil,Goiania City,2015,14,2015-04-11,NA,NA,NA
Brazil,Goiania City,2015,15,2015-04-18,NA,NA,NA
Brazil,Goiania City,2015,16,2015-04-25,NA,NA,NA
Brazil,Goiania City,2015,17,2015-05-02,NA,NA,NA
Brazil,Goiania City,2015,18,2015-05-09,NA,NA,NA
Brazil,Goiania City,2015,19,2015-05-16,NA,NA,NA
Brazil,Goiania City,2015,20,2015-05-23,NA,NA,NA
Brazil,Goiania City,2015,21,2015-05-30,NA,NA,NA
Brazil,Goiania City,2015,22,2015-06-06,NA,NA,NA
Brazil,Goiania City,2015,23,2015-06-13,NA,NA,NA
Brazil,Goiania City,2015,24,2015-06-20,NA,NA,NA
Brazil,Goiania City,2015,25,2015-06-27,NA,NA,NA
Brazil,Goiania City,2015,26,2015-07-04,NA,NA,NA
Brazil,Goiania City,2015,27,2015-07-11,NA,NA,NA
Brazil,Goiania City,2015,28,2015-07-18,NA,NA,NA
Brazil,Goiania City,2015,29,2015-07-25,NA,NA,NA
Brazil,Goiania City,2015,30,2015-08-01,NA,NA,NA
Brazil,Goiania City,2015,31,2015-08-08,NA,NA,NA
Brazil,Goiania City,2015,32,2015-08-15,NA,NA,NA
Brazil,Goiania City,2015,33,2015-08-22,NA,NA,NA
Brazil,Goiania City,2015,34,2015-08-29,NA,NA,NA
Brazil,Goiania City,2015,35,2015-09-05,NA,NA,NA
Brazil,Goiania City,2015,36,2015-09-12,NA,NA,NA
Brazil,Goiania City,2015,37,2015-09-19,NA,NA,NA
Brazil,Goiania City,2015,38,2015-09-26,NA,NA,NA
Brazil,Goiania City,2015,39,2015-10-03,NA,NA,NA
Brazil,Goiania City,2015,40,2015-10-10,NA,NA,NA
Brazil,Goiania City,2015,41,2015-10-17,NA,NA,NA
Brazil,Goiania City,2015,42,2015-10-24,NA,NA,NA
Brazil,Goiania City,2015,43,2015-10-31,NA,NA,NA
Brazil,Goiania City,2015,44,2015-11-07,NA,NA,NA
Brazil,Goiania City,2015,45,2015-11-14,NA,NA,NA
Brazil,Goiania City,2015,46,2015-11-21,NA,NA,NA
Brazil,Goiania City,2015,47,2015-11-28,NA,2,3
Brazil,Goiania City,2015,48,2015-12-05,NA,9,9
Brazil,Goiania City,2015,49,2015-12-12,NA,10,11
Brazil,Goiania City,2015,50,2015-12-19,NA,3,6
Brazil,Goiania City,2015,51,2015-12-26,NA,3,6
Brazil,Goiania City,2015,52,2016-01-02,NA,2,7
Brazil,Goiania City,2016,1,2016-01-09,NA,7,20
Brazil,Goiania City,2016,2,2016-01-16,NA,19,28
Brazil,Goiania City,2016,3,2016-01-23,NA,23,47
Brazil,Goiania City,2016,4,2016-01-30,NA,33,57
Brazil,Goiania City,2016,5,2016-02-06,NA,55,168
Brazil,Goiania City,2016,6,2016-02-13,NA,135,182
Brazil,Goiania City,2016,7,2016-02-20,NA,139,305
Brazil,Goiania City,2016,8,2016-02-27,NA,131,472
Brazil,Goiania City,2016,9,2016-03-05,NA,223,572
Brazil,Goiania City,2016,10,2016-03-12,NA,240,682
Brazil,Goiania City,2016,11,2016-03-19,NA,219,732
Brazil,Goiania City,2016,12,2016-03-26,NA,257,604
Brazil,Goiania City,2016,13,2016-04-02,NA,134,643
Brazil,Goiania City,2016,14,2016-04-09,NA,123,638
Brazil,Goiania City,2016,15,2016-04-16,NA,213,569
Brazil,Goiania City,2016,16,2016-04-23,NA,107,537
Brazil,Goiania City,2016,17,2016-04-30,NA,23,479
Brazil,Goiania City,2016,18,2016-05-07,NA,NA,335
Brazil,Goiania City,2016,19,2016-05-14,NA,NA,230
Brazil,Goiania City,2016,20,2016-05-21,NA,NA,167
Brazil,Goiania City,2016,21,2016-05-28,NA,NA,149
Brazil,Goiania City,2016,22,2016-06-04,NA,NA,115
Brazil,Goiania City,2016,23,2016-06-11,NA,NA,102
Brazil,Goiania City,2016,24,2016-06-18,NA,NA,60
Brazil,Goiania City,2016,25,2016-06-25,NA,NA,69
Brazil,Goiania City,2016,26,2016-07-02,NA,NA,54
Brazil,Goiania City,2016,27,2016-07-09,NA,NA,29
Brazil,Goiania City,2016,28,2016-07-16,NA,NA,28
Brazil,Goiania City,2016,29,2016-07-23,NA,NA,14
Brazil,Goiania City,2016,30,2016-07-30,NA,NA,22
Brazil,Goiania City,2016,31,2016-08-06,NA,NA,15
Brazil,Goiania City,2016,32,2016-08-13,NA,NA,13
Brazil,Goiania City,2016,33,2016-08-20,NA,NA,13
Brazil,Goiania City,2016,34,2016-08-27,NA,NA,10
Brazil,Goiania City,2016,35,2016-09-03,NA,NA,6
Brazil,Goiania City,2016,36,2016-09-10,NA,NA,7
Brazil,Goiania City,2016,37,2016-09-17,NA,NA,9
Brazil,Goiania City,2016,38,2016-09-24,NA,NA,12
Brazil,Goiania City,2016,39,2016-10-01,NA,NA,8
Brazil,Goiania City,2016,40,2016-10-08,NA,NA,12
Brazil,Goiania City,2016,41,2016-10-15,NA,NA,16
Brazil,Goiania City,2016,42,2016-10-22,NA,NA,5
Brazil,Goiania City,2016,43,2016-10-29,NA,NA,6
Brazil,Goiania City,2016,44,2016-11-05,NA,NA,15
Brazil,Goiania City,2016,45,2016-11-12,NA,NA,2
Brazil,Goiania City,2016,46,2016-11-19,NA,NA,0
Brazil,Goiania City,2016,47,2016-11-26,NA,NA,1
Brazil,Goiania City,2016,48,2016-12-03,NA,NA,3
Brazil,Goiania City,2016,49,2016-12-10,NA,NA,
Brazil,Goiania City,2016,50,2016-12-17,NA,NA,
Brazil,Goiania City,2016,51,2016-12-24,NA,NA,
Brazil,Goiania City,2016,1,2016-12-31,NA,NA,44
Brazil,Goiania City,2017,2,2017-01-07,NA,NA,69
Brazil,Goiania City,2017,3,2017-01-14,NA,NA,61
Brazil,Goiania City,2017,4,2017-01-21,NA,NA,55
Brazil,Goiania City,2017,5,2017-01-28,NA,NA,80
Brazil,Goiania City,2017,6,2017-02-04,NA,NA,75
Brazil,Goiania City,2017,7,2017-02-11,NA,NA,81
Brazil,Goiania City,2017,8,2017-02-18,NA,NA,70
Brazil,Goiania City,2017,9,2017-02-25,NA,NA,79
Brazil,Goiania City,2017,10,2017-03-04,NA,NA,84
Brazil,Goiania City,2017,11,2017-03-11,NA,NA,80
Brazil,Goiania City,2017,12,2017-03-18,NA,NA,69
Brazil,Goiania City,2017,13,2017-03-25,NA,NA,39
Brazil,Goiania City,2017,14,2017-04-01,NA,NA,63
Brazil,Goiania City,2017,15,2017-04-08,NA,NA,73
Brazil,Goiania City,2017,16,2017-04-15,NA,NA,79
Brazil,Goiania City,2017,17,2017-04-22,NA,NA,89
Brazil,Goiania City,2017,18,2017-04-29,NA,NA,40
Brazil,Goiania City,2017,19,2017-05-06,NA,NA,5
Brazil,Goiania City,2017,20,2017-05-13,NA,NA,0
