country,state,Year,week,date,conf,susp,total
Brazil,Rio Janeiro,2015,1,2015-01-10,NA,NA,NA
Brazil,Rio Janeiro,2015,2,2015-01-17,NA,NA,NA
Brazil,Rio Janeiro,2015,3,2015-01-24,NA,NA,NA
Brazil,Rio Janeiro,2015,4,2015-01-31,NA,NA,NA
Brazil,Rio Janeiro,2015,5,2015-02-07,NA,NA,NA
Brazil,Rio Janeiro,2015,6,2015-02-14,NA,NA,NA
Brazil,Rio Janeiro,2015,7,2015-02-21,NA,NA,NA
Brazil,Rio Janeiro,2015,8,2015-02-28,NA,NA,NA
Brazil,Rio Janeiro,2015,9,2015-03-07,NA,NA,NA
Brazil,Rio Janeiro,2015,10,2015-03-14,NA,NA,NA
Brazil,Rio Janeiro,2015,11,2015-03-21,NA,NA,NA
Brazil,Rio Janeiro,2015,12,2015-03-28,NA,NA,NA
Brazil,Rio Janeiro,2015,13,2015-04-04,NA,NA,NA
Brazil,Rio Janeiro,2015,14,2015-04-11,NA,NA,NA
Brazil,Rio Janeiro,2015,15,2015-04-18,NA,NA,NA
Brazil,Rio Janeiro,2015,16,2015-04-25,NA,NA,NA
Brazil,Rio Janeiro,2015,17,2015-05-02,NA,NA,NA
Brazil,Rio Janeiro,2015,18,2015-05-09,NA,NA,NA
Brazil,Rio Janeiro,2015,19,2015-05-16,NA,NA,NA
Brazil,Rio Janeiro,2015,20,2015-05-23,NA,NA,NA
Brazil,Rio Janeiro,2015,21,2015-05-30,NA,NA,NA
Brazil,Rio Janeiro,2015,22,2015-06-06,NA,NA,NA
Brazil,Rio Janeiro,2015,23,2015-06-13,NA,NA,NA
Brazil,Rio Janeiro,2015,24,2015-06-20,NA,NA,NA
Brazil,Rio Janeiro,2015,25,2015-06-27,NA,NA,NA
Brazil,Rio Janeiro,2015,26,2015-07-04,NA,NA,NA
Brazil,Rio Janeiro,2015,27,2015-07-11,NA,NA,NA
Brazil,Rio Janeiro,2015,28,2015-07-18,NA,NA,NA
Brazil,Rio Janeiro,2015,29,2015-07-25,NA,NA,NA
Brazil,Rio Janeiro,2015,30,2015-08-01,NA,NA,NA
Brazil,Rio Janeiro,2015,31,2015-08-08,NA,NA,NA
Brazil,Rio Janeiro,2015,32,2015-08-15,NA,NA,NA
Brazil,Rio Janeiro,2015,33,2015-08-22,NA,NA,NA
Brazil,Rio Janeiro,2015,34,2015-08-29,NA,NA,NA
Brazil,Rio Janeiro,2015,35,2015-09-05,NA,NA,NA
Brazil,Rio Janeiro,2015,36,2015-09-12,NA,NA,NA
Brazil,Rio Janeiro,2015,37,2015-09-19,NA,NA,NA
Brazil,Rio Janeiro,2015,38,2015-09-26,NA,NA,NA
Brazil,Rio Janeiro,2015,39,2015-10-03,NA,NA,NA
Brazil,Rio Janeiro,2015,40,2015-10-10,NA,NA,NA
Brazil,Rio Janeiro,2015,41,2015-10-17,NA,NA,NA
Brazil,Rio Janeiro,2015,42,2015-10-24,NA,NA,NA
Brazil,Rio Janeiro,2015,43,2015-10-31,NA,4,4
Brazil,Rio Janeiro,2015,44,2015-11-07,NA,2,2
Brazil,Rio Janeiro,2015,45,2015-11-14,NA,37,37
Brazil,Rio Janeiro,2015,46,2015-11-21,NA,82,82
Brazil,Rio Janeiro,2015,47,2015-11-28,NA,369,369
Brazil,Rio Janeiro,2015,48,2015-12-05,NA,656,656
Brazil,Rio Janeiro,2015,49,2015-12-12,NA,1133,1133
Brazil,Rio Janeiro,2015,50,2015-12-19,NA,1332,1332
Brazil,Rio Janeiro,2015,51,2015-12-26,NA,1546,1546
Brazil,Rio Janeiro,2015,52,2016-01-02,NA,1525,1525
Brazil,Rio Janeiro,2016,1,2016-01-09,NA,1980,2063
Brazil,Rio Janeiro,2016,2,2016-01-16,NA,1719,1757
Brazil,Rio Janeiro,2016,3,2016-01-23,NA,1662,1774
Brazil,Rio Janeiro,2016,4,2016-01-30,NA,1723,1694
Brazil,Rio Janeiro,2016,5,2016-02-06,NA,1629,1751
Brazil,Rio Janeiro,2016,6,2016-02-13,NA,1295,1822
Brazil,Rio Janeiro,2016,7,2016-02-20,NA,1911,2116
Brazil,Rio Janeiro,2016,8,2016-02-27,NA,1518,1764
Brazil,Rio Janeiro,2016,9,2016-03-05,NA,1673,1737
Brazil,Rio Janeiro,2016,10,2016-03-12,NA,1346,1487
Brazil,Rio Janeiro,2016,11,2016-03-19,NA,1128,1742
Brazil,Rio Janeiro,2016,12,2016-03-26,NA,662,1460
Brazil,Rio Janeiro,2016,13,2016-04-02,NA,452,1392
Brazil,Rio Janeiro,2016,14,2016-04-09,NA,147,1238
Brazil,Rio Janeiro,2016,15,2016-04-16,NA,NA,1036
Brazil,Rio Janeiro,2016,16,2016-04-23,NA,NA,807
Brazil,Rio Janeiro,2016,17,2016-04-30,NA,NA,553
Brazil,Rio Janeiro,2016,18,2016-05-07,NA,NA,208
Brazil,Rio Janeiro,2016,19,2016-05-14,NA,NA,NA
Brazil,Rio Janeiro,2016,20,2016-05-21,NA,NA,NA
Brazil,Rio Janeiro,2016,21,2016-05-28,NA,NA,NA
Brazil,Rio Janeiro,2016,22,2016-06-04,NA,NA,NA
Brazil,Rio Janeiro,2016,23,2016-06-11,NA,NA,NA
Brazil,Rio Janeiro,2016,24,2016-06-18,NA,NA,NA
Brazil,Rio Janeiro,2016,25,2016-06-25,NA,NA,NA
Brazil,Rio Janeiro,2016,26,2016-07-02,NA,NA,NA
Brazil,Rio Janeiro,2016,27,2016-07-09,NA,NA,NA
Brazil,Rio Janeiro,2016,28,2016-07-16,NA,NA,NA
Brazil,Rio Janeiro,2016,29,2016-07-23,NA,NA,NA
Brazil,Rio Janeiro,2016,30,2016-07-30,NA,NA,NA
Brazil,Rio Janeiro,2016,31,2016-08-06,NA,NA,NA
Brazil,Rio Janeiro,2016,32,2016-08-13,NA,NA,NA
Brazil,Rio Janeiro,2016,33,2016-08-20,NA,NA,NA
Brazil,Rio Janeiro,2016,34,2016-08-27,NA,NA,NA
Brazil,Rio Janeiro,2016,35,2016-09-03,NA,NA,NA
Brazil,Rio Janeiro,2016,36,2016-09-10,NA,NA,NA
Brazil,Rio Janeiro,2016,37,2016-09-17,NA,NA,NA
Brazil,Rio Janeiro,2016,38,2016-09-24,NA,NA,NA
Brazil,Rio Janeiro,2016,39,2016-10-01,NA,NA,NA
Brazil,Rio Janeiro,2016,40,2016-10-08,NA,NA,NA
Brazil,Rio Janeiro,2016,41,2016-10-15,NA,NA,NA
Brazil,Rio Janeiro,2016,42,2016-10-22,NA,NA,NA
Brazil,Rio Janeiro,2016,43,2016-10-29,NA,NA,NA
Brazil,Rio Janeiro,2016,44,2016-11-05,NA,NA,NA
Brazil,Rio Janeiro,2016,45,2016-11-12,NA,NA,NA
Brazil,Rio Janeiro,2016,46,2016-11-19,NA,NA,NA
