Week,Neg,Pos,Tot,Run Neg,Run Pos,Run Tot,Neg.misc,Pos.misc,Tot.misc
6,1,2,3,1,2,3,1,0,1
7,1,0,1,2,2,4,1,0,1
8,0,2,2,2,4,6,0,2,2
9,1,1,2,3,5,8,1,0,1
10,2,1,3,5,6,11,2,0,2
11,3,2,5,8,8,16,3,1,4
12,0,2,2,8,10,18,0,2,2
13,1,1,2,9,11,20,1,1,2
14,2,3,5,11,14,25,2,3,5
15,1,2,3,12,16,28,1,2,3
16,2,1,3,14,17,31,2,1,3
17,4,3,7,18,20,38,4,3,7
18,3,3,6,21,23,44,3,3,6
19,4,0,4,25,23,48,4,0,4
20,2,1,3,27,24,51,2,1,3
21,0,4,4,27,28,55,0,4,4
22,2,4,6,29,32,61,2,4,6
23,0,4,4,29,36,65,0,4,4
24,1,4,5,30,40,70,1,4,5
25,4,2,6,34,42,76,4,2,6
26,5,3,8,39,45,84,5,3,8
27,3,3,6,42,48,90,3,3,6
28,2,0,2,44,48,92,2,0,2
29,2,0,2,46,48,94,2,0,2
30,4,1,5,50,49,99,4,1,5
31,2,1,3,52,50,102,2,1,3
32,4,1,5,56,51,107,4,1,5
33,1,0,1,57,51,108,1,0,1
34,2,2,4,59,53,112,2,2,4
35,2,1,3,61,54,115,2,1,3
36,1,1,2,62,55,117,1,1,2
37,3,1,4,65,56,121,3,1,4
38,1,1,2,66,57,123,1,1,2
39,1,1,2,67,58,125,1,1,2
